11	53567525	53601059	CGAMUSTENST00000403231	0	+	53567525	53601059	0	19	6,274,145,85,106,140,198,175,96,72,9,157,181,111,126,54,69,125,49,	0,3010,11318,11574,12202,15701,16289,16745,19309,21163,23191,25848,26393,26751,27300,30433,30768,31181,33485,	11	53567525	53601059	ENSMUST00000118353	0	+	53567525	53601059	0	19	6,274,145,85,106,140,198,175,96,72,9,157,181,111,126,54,69,125,49,	0,3010,11318,11574,12202,15701,16289,16745,19309,21163,23191,25848,26393,26751,27300,30433,30768,31181,33485,	2178
12	17284858	17323466	CGAMUSTENST00000381661	0	-	17284858	17323466	0	12	90,133,98,94,93,69,99,92,95,86,68,129,	0,254,3224,6570,6769,9286,9817,12870,16262,23413,36739,38479,	12	17284858	17323466	ENSMUST00000221129	0	-	17284858	17323466	0	12	90,133,98,94,93,69,99,92,95,86,68,129,	0,254,3224,6570,6769,9286,9817,12870,16262,23413,36739,38479,	1146
12	31487278	31499535	CGAMUSTENST00000222597	0	-	31487278	31499535	0	6	1036,74,84,98,168,13,	0,3189,4233,4800,7303,12244,	12	31487278	31499535	ENSMUST00000185739	0	-	31487278	31499535	0	6	1036,74,84,98,168,13,	0,3189,4233,4800,7303,12244,	1473
14	63200374	63204753	CGAMUSTENST00000528712	0	-	63200374	63204753	0	5	177,155,88,126,165,	0,1103,2936,3284,4214,	14	63200374	63204753	ENSMUST00000121312	0	-	63200374	63204753	0	5	177,155,88,126,165,	0,1103,2936,3284,4214,	711
17	27753959	27820334	CGAMUSTENST00000374026	0	-	27753959	27820334	0	4	36,329,155,158,	0,13951,39949,66217,	17	27753959	27820334	ENSMUST00000233131	0	-	27753959	27820334	0	4	36,329,155,158,	0,13951,39949,66217,	678
17	34031997	34037531	CGAMUSTENST00000374680	0	+	34031997	34037531	0	10	226,218,157,180,173,130,133,92,106,148,	0,829,1557,2024,3656,4327,4627,4875,5169,5386,	17	34031997	34037531	ENSMUST00000174299	0	+	34031997	34037531	0	10	226,218,157,180,173,130,133,92,106,148,	0,829,1557,2024,3656,4327,4627,4875,5169,5386,	1563
17	83351214	83478167	CGAMUSTENST00000318522	0	+	83351214	83478167	0	23	25,183,130,174,129,26,124,150,70,111,96,135,136,152,126,132,68,89,98,88,99,131,462,	0,58811,70391,74043,76008,76785,88816,90081,93414,94731,96945,99431,99724,103186,104817,105027,105780,110314,112283,121831,122435,125989,126491,	17	83351214	83478167	ENSMUST00000234584	0	+	83351214	83478167	0	23	25,183,130,174,129,26,124,150,70,111,96,135,136,152,126,132,68,89,98,88,99,131,462,	0,58811,70391,74043,76008,76785,88816,90081,93414,94731,96945,99431,99724,103186,104817,105027,105780,110314,112283,121831,122435,125989,126491,	2934
18	60925778	60984780	CGAMUSTENST00000398376	0	+	60925778	60984780	0	19	62,95,60,55,66,73,103,84,95,123,84,43,41,33,49,76,95,229,4,	0,15508,21207,25514,26355,26506,29758,31325,31521,32362,32794,34224,38144,43232,44215,52161,54281,58547,58998,	18	60925778	60984780	ENSMUST00000025519	0	+	60925778	60984780	0	19	62,95,60,55,66,73,103,84,95,123,84,43,41,33,49,76,95,229,4,	0,15508,21207,25514,26355,26506,29758,31325,31521,32362,32794,34224,38144,43232,44215,52161,54281,58547,58998,	1470
19	10389482	10448444	CGAMUSTENST00000542836	0	+	10389482	10448444	0	10	31,104,80,132,136,271,170,115,200,105,	0,23857,28480,32274,46067,49669,53345,53894,54502,58857,	19	10389482	10448444	ENSMUST00000223586	0	+	10389482	10448444	0	10	31,104,80,132,136,271,170,115,200,105,	0,23857,28480,32274,46067,49669,53345,53894,54502,58857,	1344
19	10389482	10448444	CGAMUSTENST00000540677	0	+	10389482	10448444	0	10	31,104,80,228,136,271,170,115,200,105,	0,23857,28480,33302,46067,49669,53345,53894,54502,58857,	19	10389482	10448444	ENSMUST00000235479	0	+	10389482	10448444	0	10	31,104,80,228,136,271,170,115,200,105,	0,23857,28480,33302,46067,49669,53345,53894,54502,58857,	1440
